Year,Name,Graduates_Male,Graduates_Female,Employed_Male,Employed_Female,Overseas_Employment_Male,Overseas_Employment_Female,Agriculture_Fishery_Male,Agriculture_Fishery_Female,Creative_Activities_Male,Creative_Activities_Female,Entrepreneurship_Male,Entrepreneurship_Female,Freelancer_Male,Freelancer_Female,Uncounted_Male,Uncounted_Female,Others_Male,Others_Female,Employment_Rate,Pre_Employment_Male,Pre_Employment_Female,Campus_Employment_Male,Campus_Employment_Female
2021,동국대학교,"1,773","1,720",957,803,1,1,0,0,0,0,8,15,78,83,289,374,440,444,68.8,28,64,5,6
2021,동국대학교(WISE) _분교,944,740,454,356,3,2,0,0,0,1,13,8,27,32,144,92,303,249,61.9,32,11,1,4
2021,동덕여자대학교,0,"1,577",0,786,0,2,0,0,0,69,0,25,0,137,0,77,0,481,67.9,0,63,0,50
2021,동명대학교,"1,044",642,614,367,2,1,0,0,0,0,8,6,23,23,63,45,334,200,66.2,48,24,13,20
2021,동서대학교,"1,000","1,271",528,678,19,39,0,0,0,5,7,9,45,44,75,54,326,442,64.1,27,35,3,29
2021,동신대학교,659,753,393,454,0,1,0,0,0,0,5,4,16,26,51,47,194,221,68.4,29,29,3,19
2021,동아대학교,"2,097","2,171","1,050",939,24,29,0,0,0,1,19,17,53,70,162,178,789,937,56.1,52,22,22,66
2021,동양대학교,461,311,243,166,0,0,0,0,0,0,1,2,19,14,24,17,174,112,60.9,2,1,2,0
2021,동의대학교,"1,682","1,643",896,853,5,6,1,0,1,0,22,12,46,37,123,90,588,645,60.4,42,22,37,51
2021,루터대학교,37,50,12,24,0,0,0,0,0,0,1,1,1,3,9,4,14,18,56.8,0,2,0,1
2021,명지대학교,990,533,548,271,0,0,0,0,0,0,10,10,49,30,108,52,275,170,67.4,2,6,7,22
2021,명지대학교 _제2캠퍼스,789,"1,029",429,538,1,4,0,0,0,0,15,14,30,50,45,90,269,333,64.2,54,88,7,17
2021,목원대학교,767,834,375,328,0,0,0,0,8,6,12,14,51,56,86,63,235,367,58.5,6,3,9,28
2021,목포가톨릭대학교,17,102,12,80,0,0,0,0,0,0,0,0,0,0,0,0,5,22,77.3,0,4,0,0
2021,배재대학교,903,847,482,431,3,2,1,1,6,25,9,7,35,27,57,62,310,292,63.1,5,6,20,37
2021,백석대학교,"1,258","1,640",624,830,2,11,0,0,6,10,5,14,88,109,134,87,399,579,63.5,6,21,19,23
2021,부산가톨릭대학교,306,626,172,402,4,5,0,0,0,0,3,1,3,9,20,17,104,192,66.9,6,25,2,7
2021,부산교육대학교,135,252,79,169,0,0,0,0,0,0,1,0,1,5,10,2,44,76,68,0,1,0,0
2021,부산대학교,"2,444","2,244","1,201",874,0,2,0,0,1,0,8,12,47,69,386,318,801,969,55.6,58,17,2,2
2021,부산외국어대학교,746,884,362,351,25,23,0,0,0,0,11,14,19,38,81,119,248,339,59,9,9,25,37
2021,부산장신대학교,24,32,7,10,0,0,0,0,0,0,0,0,0,2,8,6,9,14,45.2,0,0,0,0
2021,삼육대학교,569,799,290,462,3,9,1,0,0,0,6,4,30,38,66,43,173,243,67,13,18,4,17
2021,상명대학교,656,752,318,319,0,0,0,0,4,10,6,5,32,44,121,114,175,260,62.9,8,11,15,34
2021,상명대학교 _제2캠퍼스,506,818,275,431,0,1,0,0,0,0,10,10,44,75,45,47,132,254,68.7,9,18,5,23
2021,상지대학교,819,493,494,256,0,0,0,0,0,0,14,3,26,26,48,19,237,189,65.8,46,14,10,11
2021,서강대학교,998,820,498,344,5,3,0,0,2,1,5,3,34,21,258,286,196,162,71.9,6,9,1,1
2021,서경대학교,557,731,339,330,0,0,0,0,0,6,6,17,44,65,34,120,134,193,71.2,23,24,1,1
2021,서울과학기술대학교,"1,479",882,844,440,2,2,0,0,1,4,10,12,42,44,170,107,410,273,67.2,99,37,2,4
2021,서울교육대학교,85,292,44,157,0,0,0,0,0,0,0,0,0,6,13,8,28,121,58.1,0,1,0,0
2021,서울기독대학교,30,64,15,18,0,0,0,0,0,0,0,3,0,10,7,12,8,21,61.3,1,5,0,1
2021,서울대학교,"1,958","1,366",831,615,0,0,0,0,0,0,14,10,82,69,689,354,342,318,71.1,10,6,1,0
2021,서울시립대학교,"1,148",714,704,353,0,1,0,0,0,0,8,4,30,35,125,96,281,225,69.2,79,25,0,0
2021,서울신학대학교,130,322,30,145,0,1,0,0,0,0,4,3,12,25,63,54,21,94,65.7,2,7,1,4
2021,서울여자대학교,0,"1,563",0,809,0,1,0,0,0,7,0,10,0,81,0,174,0,481,65.4,0,17,0,40
2021,서울장신대학교,60,73,11,17,0,0,0,0,0,0,1,2,2,1,36,35,10,18,54.8,0,2,0,0
2021,서울한영대학교,45,93,19,45,0,0,0,0,0,0,1,2,2,7,16,14,7,25,70.4,3,8,0,0
2021,서원대학교,775,744,392,351,0,0,0,0,3,6,11,4,38,23,46,32,285,328,57.5,25,47,12,17
2021,선문대학교,"1,082",878,629,474,1,1,0,0,0,0,8,5,35,40,118,141,291,217,70.1,12,3,11,26
2021,성결대학교,462,638,234,314,0,0,0,0,6,4,3,6,35,44,57,54,127,216,65.3,8,17,6,20
